X,Elevation,Resistivity,Conductivity
12.48,209.76,96.07,0.0104
17.48,209.76,91.4,0.0109
22.48,209.76,100.53,0.009947
27.48,209.76,65.39,0.0153
32.48,209.75,59.49,0.0168
37.48,209.75,59.52,0.0168
42.48,209.75,56.31,0.0178
47.48,209.75,75.36,0.0133
52.48,209.75,72.86,0.0137
57.48,209.75,82.61,0.0121
62.48,209.75,89.78,0.0111
67.48,209.75,114.77,0.008713
72.48,209.75,113.41,0.008818
77.48,209.74,104.3,0.009588
82.48,209.74,176.2,0.005675
87.48,209.74,80.04,0.0125
92.48,209.74,143.96,0.006946
97.48,209.72,140.97,0.007094
102.48,209.69,141.03,0.007091
107.48,209.62,162.6,0.00615
112.48,209.55,121.43,0.008235
117.48,209.48,127.62,0.007836
122.48,209.4,134.01,0.007462
127.48,209.33,116.1,0.008613
132.48,209.26,81.51,0.0123
137.48,209.18,100.41,0.009959
142.48,209.11,73.82,0.0135
147.48,209.03,120.5,0.008299
152.48,208.96,143.52,0.006968
157.48,208.88,104.85,0.009537
162.48,208.81,91.15,0.011
167.48,208.74,90.02,0.0111
172.48,208.66,106.03,0.009431
177.47,208.59,75.03,0.0133
182.47,208.51,76.71,0.013
187.47,208.44,76.65,0.013
192.47,208.36,54.76,0.0183
197.47,208.29,81.21,0.0123
202.47,208.23,76.4,0.0131
207.47,208.18,70.72,0.0141
212.47,208.13,61.87,0.0162
217.47,208.07,87.74,0.0114
222.47,208.02,90.91,0.011
227.47,207.97,97.27,0.0103
232.47,207.92,76.57,0.0131
237.47,207.87,89.75,0.0111
242.47,207.82,77.68,0.0129
247.47,207.77,74.41,0.0134
252.47,207.72,78.13,0.0128
257.47,207.67,61.79,0.0162
262.47,207.62,68.66,0.0146
267.47,207.57,76.32,0.0131
272.47,207.52,75.37,0.0133
277.47,207.47,69.21,0.0144
282.47,207.42,70.22,0.0142
287.47,207.36,49.19,0.0203
292.47,207.31,48.4,0.0207
297.47,207.25,54.13,0.0185
302.47,207.15,62.18,0.0161
307.46,207.03,50.59,0.0198
312.46,206.9,56.33,0.0178
317.46,206.77,57.09,0.0175
322.46,206.64,68.14,0.0147
327.46,206.5,66.36,0.0151
332.46,206.37,57.72,0.0173
337.45,206.24,59.33,0.0169
342.45,206.1,67,0.0149
347.45,205.97,67.72,0.0148
352.45,205.84,85.08,0.0118
357.45,205.7,72.77,0.0137
362.44,205.57,72.67,0.0138
367.44,205.44,48.46,0.0206
372.44,205.3,52.83,0.0189
377.44,205.17,68.68,0.0146
382.44,205.04,76.72,0.013
387.44,204.9,68.8,0.0145
392.43,204.77,65.29,0.0153
397.43,204.65,50.63,0.0198
402.43,204.56,58.95,0.017
407.43,204.5,62.81,0.0159
412.43,204.46,71.93,0.0139
417.43,204.41,64.05,0.0156
422.43,204.36,61.72,0.0162
427.43,204.32,58.65,0.0171
432.43,204.27,60.68,0.0165
437.43,204.22,52.01,0.0192
442.43,204.18,58.79,0.017
447.43,204.13,47.37,0.0211
452.43,204.09,69.11,0.0145
457.43,204.04,45.51,0.022
462.43,204,48.83,0.0205
467.43,203.95,37.98,0.0263
472.43,203.91,43.73,0.0229
477.43,203.86,42.31,0.0236
482.43,203.81,42.59,0.0235
487.43,203.77,29.36,0.0341
492.43,203.72,32.55,0.0307
497.43,203.68,29.37,0.034
502.43,203.64,24.85,0.0402
507.43,203.59,24.76,0.0404
512.43,203.55,34.08,0.0293
517.43,203.51,34.03,0.0294
522.43,203.46,33.57,0.0298
527.43,203.42,33.65,0.0297
532.43,203.38,35.48,0.0282
537.43,203.33,46.99,0.0213
542.43,203.29,28.47,0.0351
547.42,203.25,28.21,0.0354
552.42,203.2,31.13,0.0321
557.42,203.16,17.44,0.0573
12.45,207.28,95.41,0.0105
17.45,207.28,92.48,0.0108
22.45,207.27,92.36,0.0108
27.45,207.27,65.02,0.0154
32.45,207.26,51.78,0.0193
37.45,207.26,51.75,0.0193
42.45,207.26,51.74,0.0193
47.45,207.25,58.91,0.017
52.45,207.25,73.04,0.0137
57.45,207.25,82.63,0.0121
62.45,207.24,82.6,0.0121
67.45,207.24,102.77,0.00973
72.45,207.24,130.23,0.007679
77.45,207.23,112.36,0.0089
82.45,207.23,100.5,0.00995
87.45,207.22,79.93,0.0125
92.45,207.21,80.59,0.0124
97.45,207.19,80.7,0.0124
102.45,207.15,109.89,0.0091
107.45,207.09,146.44,0.006829
112.45,207.03,149.68,0.006681
117.45,206.96,384.75,0.002599
122.45,206.89,135.26,0.007393
127.45,206.82,128.22,0.007799
132.45,206.74,254.44,0.00393
137.45,206.67,243.45,0.004108
142.45,206.6,237.52,0.00421
147.44,206.52,133.86,0.00747
152.44,206.45,103.51,0.009661
157.44,206.38,18.18,0.055
162.44,206.3,90.77,0.011
167.44,206.23,51.05,0.0196
172.44,206.16,51.58,0.0194
177.44,206.08,84.73,0.0118
182.44,206.01,44.26,0.0226
187.44,205.94,32.27,0.031
192.44,205.87,51.5,0.0194
197.44,205.8,42.12,0.0237
202.44,205.73,53.43,0.0187
207.44,205.68,70.67,0.0142
212.44,205.62,53.13,0.0188
217.44,205.57,46.29,0.0216
222.44,205.52,47.47,0.0211
227.44,205.47,43.16,0.0232
232.44,205.42,47.7,0.021
237.44,205.37,128.38,0.007789
242.44,205.31,70.24,0.0142
247.44,205.26,135.3,0.007391
252.44,205.21,97.9,0.0102
257.44,205.16,66.03,0.0151
262.44,205.11,63.99,0.0156
267.44,205.05,33.28,0.03
272.43,205,57.13,0.0175
277.43,204.95,166.77,0.005996
282.43,204.89,35.28,0.0283
287.43,204.84,36.5,0.0274
292.43,204.78,56.22,0.0178
297.43,204.71,35.95,0.0278
302.43,204.62,36.69,0.0273
307.43,204.5,46.38,0.0216
312.43,204.38,55.03,0.0182
317.43,204.25,38.21,0.0262
322.43,204.12,48.45,0.0206
327.42,204,73.35,0.0136
332.42,203.86,57.82,0.0173
337.42,203.73,43.54,0.023
342.42,203.6,44.28,0.0226
347.42,203.47,61.36,0.0163
352.41,203.34,38.89,0.0257
357.41,203.21,31.57,0.0317
362.41,203.08,40.65,0.0246
367.41,202.95,39.55,0.0253
372.41,202.82,47.88,0.0209
377.41,202.69,48.15,0.0208
382.4,202.56,43.95,0.0228
387.4,202.43,48.25,0.0207
392.4,202.31,48.32,0.0207
397.4,202.2,33.43,0.0299
402.4,202.11,31.9,0.0313
407.4,202.04,31.9,0.0313
412.4,201.99,50.44,0.0198
417.4,201.94,28.45,0.0351
422.4,201.89,40.94,0.0244
427.4,201.84,61.42,0.0163
432.4,201.79,46.93,0.0213
437.4,201.74,46.55,0.0215
442.4,201.7,38.76,0.0258
447.4,201.65,48.04,0.0208
452.4,201.6,43.66,0.0229
457.4,201.56,20.42,0.049
462.4,201.51,31.7,0.0315
467.39,201.46,29.99,0.0333
472.39,201.42,31.44,0.0318
477.39,201.37,30.06,0.0333
482.39,201.32,31.6,0.0316
487.39,201.28,40.57,0.0246
492.39,201.23,33,0.0303
497.39,201.19,29.38,0.034
502.39,201.14,25.19,0.0397
507.39,201.1,25.18,0.0397
512.39,201.05,33.96,0.0294
517.39,201.01,33.95,0.0295
522.39,200.97,33.57,0.0298
527.39,200.92,33.6,0.0298
532.39,200.88,44.27,0.0226
537.39,200.83,46.93,0.0213
542.39,200.79,32.47,0.0308
547.39,200.75,32.37,0.0309
552.39,200.7,38,0.0263
557.39,200.66,38,0.0263
17.42,204.79,92.58,0.0108
22.42,204.79,82,0.0122
27.42,204.78,57.52,0.0174
32.42,204.77,41.95,0.0238
37.42,204.77,41.57,0.0241
42.42,204.76,41.54,0.0241
47.42,204.76,41.57,0.0241
52.42,204.75,43.4,0.023
57.42,204.75,43.42,0.023
62.42,204.74,42.86,0.0233
67.42,204.73,44.64,0.0224
72.42,204.73,59.63,0.0168
77.42,204.72,57.6,0.0174
82.42,204.71,43.29,0.0231
87.42,204.7,44.3,0.0226
92.42,204.68,51.66,0.0194
97.42,204.66,53.23,0.0188
102.42,204.62,59.56,0.0168
107.42,204.57,79.14,0.0126
112.41,204.51,80.36,0.0124
117.41,204.44,86.32,0.0116
122.41,204.37,97.35,0.0103
127.41,204.3,129.85,0.007701
132.41,204.23,156.55,0.006388
137.41,204.16,153.24,0.006526
142.41,204.09,74.19,0.0135
147.41,204.02,43.14,0.0232
152.41,203.94,44.82,0.0223
157.41,203.87,42.85,0.0233
162.41,203.8,60.59,0.0165
167.41,203.72,38.82,0.0258
172.41,203.65,38.66,0.0259
177.41,203.58,40.46,0.0247
182.41,203.51,44.14,0.0227
187.41,203.44,46.11,0.0217
192.41,203.37,49.36,0.0203
197.41,203.3,37.31,0.0268
202.41,203.24,37.34,0.0268
207.41,203.18,48.43,0.0206
212.41,203.12,40.68,0.0246
217.4,203.07,34.74,0.0288
222.4,203.02,44.18,0.0226
227.4,202.96,44.24,0.0226
232.4,202.91,32.42,0.0308
237.4,202.86,26.79,0.0373
242.4,202.81,26.02,0.0384
